JEE Mains,https://jeemain.nta.nic.in/
BEL,https://bel-india.in/job-notifications/
BPCL,https://www.bharatpetroleum.in/Careers/Job-Openings.aspx
DRDO,https://www.drdo.gov.in/drdo/careers
ICMR,https://www.icmr.gov.in/employment-opportunities
IOCL,https://iocl.com/latest-job-opening
ISRO,https://www.isro.gov.in/Careers.html
NPCIL,https://www.npcilcareers.co.in/MainSiten/DefaultInfo.aspx
ONGC,https://ongcindia.com/web/eng/career/recruitment-notice
DMRC,https://delhimetrorail.com/pages/en/career
RITES,https://www.rites.com/Career
RPF,https://rpf.indianrailways.gov.in/RPF/Recruitments/Upcoming.jsp
KVPY,https://www.indiascienceandtechnology.gov.in/nurturing-minds/scholarships/school/kishore-vaigyanik-protsahan-yojana-kvpy
Indian Post,https://www.indiapost.gov.in/vas/Pages/IndiaPostHome.aspx
NABARD,https://www.nabard.org/careers-notices1.aspx?cid=693&id=26
SBI,https://sbi.co.in/web/careers/current-openings
SSC,https://ssc.gov.in/home/notice-board
NTA,https://nta.ac.in/NoticeBoardArchive